sep=,
"Time","Kalman Humi1"
2021-11-22 17:39:00,58.5 %H
2021-11-22 17:42:00,58.5 %H
2021-11-22 17:45:00,58.4 %H
2021-11-22 17:48:00,58.4 %H
2021-11-22 17:51:00,58.4 %H
2021-11-22 17:54:00,58.4 %H
2021-11-22 17:57:00,58.4 %H
2021-11-22 18:00:00,58.3 %H
2021-11-22 18:03:00,58.3 %H
2021-11-22 18:06:00,58.3 %H
2021-11-22 18:09:00,58.3 %H
2021-11-22 18:12:00,58.3 %H
2021-11-22 18:15:00,58.2 %H
2021-11-22 18:18:00,58.2 %H
2021-11-22 18:21:00,58.2 %H
2021-11-22 18:24:00,58.2 %H
2021-11-22 18:27:00,58.2 %H
2021-11-22 18:30:00,58.2 %H
2021-11-22 18:33:00,58.1 %H
2021-11-22 18:36:00,58.1 %H
2021-11-22 18:39:00,58.1 %H
2021-11-22 18:42:00,58.1 %H
2021-11-22 18:45:00,58.1 %H
2021-11-22 18:48:00,58.0 %H
2021-11-22 18:51:00,58.0 %H
2021-11-22 18:54:00,58.0 %H
2021-11-22 18:57:00,58.0 %H
2021-11-22 19:00:00,58.0 %H
2021-11-22 19:03:00,58.0 %H
2021-11-22 19:06:00,57.9 %H
2021-11-22 19:09:00,57.9 %H
2021-11-22 19:12:00,57.9 %H
2021-11-22 19:15:00,57.9 %H
2021-11-22 19:18:00,57.9 %H
2021-11-22 19:21:00,57.9 %H
2021-11-22 19:24:00,57.8 %H
2021-11-22 19:27:00,57.8 %H
2021-11-22 19:30:00,57.8 %H
2021-11-22 19:33:00,57.8 %H
2021-11-22 19:36:00,57.8 %H
2021-11-22 19:39:00,57.8 %H
2021-11-22 19:42:00,57.7 %H
2021-11-22 19:45:00,57.7 %H
2021-11-22 19:48:00,57.7 %H
2021-11-22 19:51:00,57.7 %H
2021-11-22 19:54:00,57.7 %H
2021-11-22 19:57:00,57.7 %H
2021-11-22 20:00:00,57.6 %H
2021-11-22 20:03:00,57.6 %H
2021-11-22 20:06:00,57.6 %H
2021-11-22 20:09:00,57.6 %H
2021-11-22 20:12:00,57.6 %H
2021-11-22 20:15:00,57.6 %H
2021-11-22 20:18:00,57.6 %H
2021-11-22 20:21:00,57.6 %H
2021-11-22 20:24:00,57.5 %H
2021-11-22 20:27:00,57.5 %H
2021-11-22 20:30:00,57.5 %H
2021-11-22 20:33:00,57.5 %H
2021-11-22 20:36:00,57.5 %H
2021-11-22 20:39:00,57.5 %H
2021-11-22 20:42:00,57.5 %H
2021-11-22 20:45:00,57.5 %H
2021-11-22 20:48:00,57.5 %H
2021-11-22 20:51:00,57.5 %H
2021-11-22 20:54:00,57.5 %H
2021-11-22 20:57:00,57.5 %H
2021-11-22 21:00:00,57.5 %H
2021-11-22 21:03:00,57.5 %H
2021-11-22 21:06:00,57.5 %H
2021-11-22 21:09:00,57.4 %H
